N	Wave	B0	B1	S	Sair
193	944.57463370816	0.0198237180976941	0.0237795057864939	0.0144226014371738	0.0201266890504823
194	947.8196855075	0.0197803981853768	0.0236026615973301	0.0135886430127207	0.0191396368089798
195	951.06320483264	0.0197891659813925	0.0236082632852903	0.0128303772642987	0.0182958062445265
196	954.30517981402	0.0197688483606364	0.0237059178658607	+NAN	+NAN
197	957.54559858208	0.0198049780939795	0.0239504428045586	+NAN	+NAN
198	960.78444926726	0.0197587725138619	0.0236517375508904	+NAN	+NAN
199	964.02172	0.0198069044896615	0.0236401332065299	+NAN	+NAN
200	967.25739891074	0.01976786972162	0.0235831064869514	+NAN	+NAN
201	970.49147412992	0.0197887992316666	0.0236504656936614	+NAN	+NAN
202	973.72393378798	0.0197733254291265	0.0235793595180494	+NAN	+NAN
203	976.95476601536	0.0198030004021894	0.0236058126122684	+NAN	+NAN
204	980.1839589425	0.0197623972643639	0.0234076566973957	+NAN	+NAN
205	983.41150069984	0.0198092252023656	0.0237672576582382	+NAN	+NAN
206	986.63737941782	0.0197658108982302	0.0234950826551019	+NAN	+NAN
207	989.86158322688	0.0198120920266976	0.0236040338275905	+NAN	+NAN
208	993.08410025746	0.0197669500556803	0.0236581102782934	+NAN	+NAN
209	996.30491864	0.0198037073812043	0.0235465076867202	+NAN	+NAN
210	999.52402650494	0.0197668509529951	0.023709771142895	+NAN	+NAN
211	1002.74141198272	0.0197973726607963	0.0235837823902167	+NAN	+NAN
212	1005.95706320378	0.019759298037256	0.0236688536838874	+NAN	+NAN
213	1009.17096829856	0.0198070915285322	0.0235636507022333	+NAN	+NAN
214	1012.3831153975	0.01976018908904	0.0234643997540594	+NAN	+NAN
215	1015.59349263104	0.0198023415787047	0.0237371033303071	+NAN	+NAN
216	1018.80208812962	0.0197718507532544	0.0237663825799663	+NAN	+NAN
217	1022.00889002368	0.019787276574741	0.0235708534709654	+NAN	+NAN
218	1025.21388644366	0.0197668793926742	0.0235663349389352	+NAN	+NAN
219	1028.41706552	0.0198033118428462	0.0233609839360495	+NAN	+NAN
220	1031.61841538314	0.0197521052411334	0.0237346549265886	+NAN	+NAN
221	1034.81792416352	0.0197971262998957	0.023625614029338	+NAN	+NAN
222	1038.01557999158	0.0197638007538001	0.0235305632124826	+NAN	+NAN
223	1041.21137099776	0.0198061462145384	0.023547337902611	+NAN	+NAN
224	1044.4052853125	0.0197480081825877	0.0235288018839841	+NAN	+NAN
225	1047.59731106624	0.0197919905823974	0.0233672634474546	+NAN	+NAN
226	1050.78743638942	0.0197537875441101	0.0235062265054506	+NAN	+NAN
227	1053.97564941248	0.0197921151586602	0.023698892451911	+NAN	+NAN
228	1057.16193826586	0.0197551379926726	0.0235285763501466	+NAN	+NAN
229	1060.34629108	0.0197828466149217	0.0237550968108793	+NAN	+NAN
230	1063.52869598534	0.0197603647869344	0.023533073585638	+NAN	+NAN
231	1066.70914111232	0.019793160796675	0.0234755624570819	+NAN	+NAN
232	1069.88761459138	0.0197542261781781	0.0236950925907855	+NAN	+NAN
233	1073.06410455296	0.0197867102238322	0.0235503700409678	+NAN	+NAN
234	1076.2385991275	0.0197630346272319	0.0235704818289066	+NAN	+NAN
235	1079.41108644544	0.0198107227346668	0.0233414443616704	+NAN	+NAN
236	1082.58155463722	0.0197532517265991	0.023624713639606	+NAN	+NAN
237	-1	0.0197903395107247	0.0234674914179879	+NAN	+NAN
238	-1	0.0197532778980828	0.023553818160079	+NAN	+NAN
239	-1	0.0198007049885863	0.0234411976986866	+NAN	+NAN
240	-1	0.019761811197604	0.0234875764979723	+NAN	+NAN
241	-1	0.019817177145994	0.0235709699036818	+NAN	+NAN
242	-1	0.0197564711680558	0.0236493942333717	+NAN	+NAN
243	-1	0.0197979402330409	0.0235689486526725	+NAN	+NAN
244	-1	0.0197671210427076	0.0233881110133539	+NAN	+NAN
245	-1	0.0198077311595955	0.0236186313830278	+NAN	+NAN
246	-1	0.0197754814359594	0.0234945659521924	+NAN	+NAN
247	-1	0.0198180118418496	0.0233804943586089	+NAN	+NAN
248	-1	0.0197844024223934	0.0235500060796279	+NAN	+NAN
249	-1	0.0198219560589302	0.0234658976688113	+NAN	+NAN
250	-1	0.0197981810106916	0.0234718374829659	+NAN	+NAN
251	-1	0.0198388373638674	0.0234709435520203	+NAN	+NAN
252	-1	0.019827738037601	0.0232343335941729	+NAN	+NAN
253	-1	0.0198794541108645	0.0233473995372628	+NAN	+NAN
254	-1	0.0199195875577947	0.0235306873259179	+NAN	+NAN
255	1142.42102979584	0.0204112979182769	0.0242649418856363	+NAN	+NAN
